# Size distribution written by optool, can be read in with -a optool_sd.dat
# First line: Number of grain size bins NA
# Then NA lines with:  agrain[um]  n(a)
#   n(a) is the number of grains in the bin.
#   In a linear grid      (da   =const), this would be n(a) = f(a)*da
#   In a logarithmic grid (dloga=const), this would be n(a) = f(a)*a*dloga.
#   In an arbitrary grid,  just give the number of grains in the bin.
# No normalization is necessary, it is done automatically.
          72
       0.50000E-01     0.00000E+0000
       0.58381E-01     0.26503E-0002
       0.68166E-01     0.17991E-0002
       0.79591E-01     0.12212E-0002
       0.92931E-01     0.82900E-0003
       0.10851E+00     0.56274E-0003
       0.12669E+00     0.38200E-0003
       0.14793E+00     0.25931E-0003
       0.17272E+00     0.17603E-0003
       0.20167E+00     0.11949E-0003
       0.23548E+00     0.81112E-0004
       0.27495E+00     0.55061E-0004
       0.32103E+00     0.37376E-0004
       0.37484E+00     0.25372E-0004
       0.43766E+00     0.17223E-0004
       0.51102E+00     0.11691E-0004
       0.59667E+00     0.79363E-0005
       0.69668E+00     0.53873E-0005
       0.81345E+00     0.36570E-0005
       0.94980E+00     0.24825E-0005
       0.11090E+01     0.16852E-0005
       0.12949E+01     0.11439E-0005
       0.15119E+01     0.77651E-0006
       0.17653E+01     0.52711E-0006
       0.20612E+01     0.35782E-0006
       0.24067E+01     0.24289E-0006
       0.28101E+01     0.16488E-0006
       0.32811E+01     0.11192E-0006
       0.38310E+01     0.75977E-0007
       0.44731E+01     0.51575E-0007
       0.52228E+01     0.35010E-0007
       0.60982E+01     0.23765E-0007
       0.71204E+01     0.16133E-0007
       0.83138E+01     0.10951E-0007
       0.97073E+01     0.74338E-0008
       0.11334E+02     0.50462E-0008
       0.13234E+02     0.34255E-0008
       0.15452E+02     0.23253E-0008
       0.18042E+02     0.15785E-0008
       0.21066E+02     0.10715E-0008
       0.24597E+02     0.72735E-0009
       0.28720E+02     0.49374E-0009
       0.33534E+02     0.33516E-0009
       0.39154E+02     0.22751E-0009
       0.45717E+02     0.15444E-0009
       0.53380E+02     0.10484E-0009
       0.62327E+02     0.71166E-0010
       0.72773E+02     0.48309E-0010
       0.84971E+02     0.32793E-0010
       0.99213E+02     0.22261E-0010
       0.11584E+03     0.15111E-0010
       0.13526E+03     0.10258E-0010
       0.15793E+03     0.69632E-0011
       0.18440E+03     0.47267E-0011
       0.21531E+03     0.32086E-0011
       0.25139E+03     0.21781E-0011
       0.29353E+03     0.14785E-0011
       0.34273E+03     0.10037E-0011
       0.40017E+03     0.68130E-0012
       0.46725E+03     0.46248E-0012
       0.54556E+03     0.31394E-0012
       0.63700E+03     0.21311E-0012
       0.74377E+03     0.14466E-0012
       0.86844E+03     0.98201E-0013
       0.10140E+04     0.66661E-0013
       0.11840E+04     0.45251E-0013
       0.13824E+04     0.30717E-0013
       0.16141E+04     0.20851E-0013
       0.18846E+04     0.14154E-0013
       0.22005E+04     0.96083E-0014
       0.25694E+04     0.65223E-0014
       0.30000E+04     0.00000E+0000
